"years","school","position","career","name","year"
"1994–1996","Richmond","OLBs","Coaching","Mike London",1996
"1997–2000","Boston College","DL","Coaching","Mike London",1997
"1997–2000","Boston College","DL","Coaching","Mike London",1998
"1997–2000","Boston College","DL","Coaching","Mike London",1999
"1997–2000","Boston College","DL","Coaching","Mike London",2000
"2001","Virginia","DL","Coaching","Mike London",2001
"2002–2004","Virginia (DL","DL","Coaching","Mike London",2002
"2002–2004","Virginia (DL","DL","Coaching","Mike London",2003
"2002–2004","Virginia (DL","DL","Coaching","Mike London",2004
"2005","RC)"," RC","Coaching","Mike London",2005
"2006–2007","Houston Texans","DL","Coaching","Mike London",2006
"2006–2007","Houston Texans","DL","Coaching","Mike London",2007
"2008–2009","Virginia (DC","DC","Coaching","Mike London",2008
"2008–2009","Virginia (DC","DC","Coaching","Mike London",2009
"2010–2013","DL)"," DL","Coaching","Mike London",2010
"2010–2013","DL)"," DL","Coaching","Mike London",2011
"2010–2013","DL)"," DL","Coaching","Mike London",2012
"2010–2013","DL)"," DL","Coaching","Mike London",2013
"1988–1989","Richmond","HC","Coaching","Mike London",1988
"1988–1989","Richmond","HC","Coaching","Mike London",1989
"1990–1993","Virginia","HC","Coaching","Mike London",1990
"1990–1993","Virginia","HC","Coaching","Mike London",1991
"1990–1993","Virginia","HC","Coaching","Mike London",1992
"1990–1993","Virginia","HC","Coaching","Mike London",1993
"1972","Maryland","GA","Coaching","Frank Beamer",1972
"1973–1976","The Citadel","DL","Coaching","Frank Beamer",1973
"1973–1976","The Citadel","DL","Coaching","Frank Beamer",1974
"1973–1976","The Citadel","DL","Coaching","Frank Beamer",1975
"1973–1976","The Citadel","DL","Coaching","Frank Beamer",1976
"1977–1978","The Citadel","DC","Coaching","Frank Beamer",1977
"1977–1978","The Citadel","DC","Coaching","Frank Beamer",1978
"1979–1980","Murray State","DC","Coaching","Frank Beamer",1979
"1979–1980","Murray State","DC","Coaching","Frank Beamer",1980
"1981–1986","Murray State","HC","Coaching","Frank Beamer",1981
"1981–1986","Murray State","HC","Coaching","Frank Beamer",1982
"1981–1986","Murray State","HC","Coaching","Frank Beamer",1983
"1981–1986","Murray State","HC","Coaching","Frank Beamer",1984
"1981–1986","Murray State","HC","Coaching","Frank Beamer",1985
"1981–1986","Murray State","HC","Coaching","Frank Beamer",1986
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",1987
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",1988
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",1989
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",1990
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",1991
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",1992
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",1993
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",1994
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",1995
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",1996
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",1997
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",1998
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",1999
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",2000
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",2001
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",2002
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",2003
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",2004
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",2005
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",2006
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",2007
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",2008
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",2009
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",2010
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",2011
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",2012
"1987–2013","Virginia Tech","HC","Coaching","Frank Beamer",2013
"1975","Virginia","GA","Coaching","Jim Grobe",1975
"1976–1977","Liberty HS (Bedford","Bedford","Coaching","Jim Grobe",1976
"1976–1977","Liberty HS (Bedford","Bedford","Coaching","Jim Grobe",1977
"1978","VA)"," VA","Coaching","Jim Grobe",1978
"1979–1983","Emory & Henry","LB","Coaching","Jim Grobe",1979
"1979–1983","Emory & Henry","LB","Coaching","Jim Grobe",1980
"1979–1983","Emory & Henry","LB","Coaching","Jim Grobe",1981
"1979–1983","Emory & Henry","LB","Coaching","Jim Grobe",1982
"1979–1983","Emory & Henry","LB","Coaching","Jim Grobe",1983
"1984–1994","Marshall","LB","Coaching","Jim Grobe",1984
"1984–1994","Marshall","LB","Coaching","Jim Grobe",1985
"1984–1994","Marshall","LB","Coaching","Jim Grobe",1986
"1984–1994","Marshall","LB","Coaching","Jim Grobe",1987
"1984–1994","Marshall","LB","Coaching","Jim Grobe",1988
"1984–1994","Marshall","LB","Coaching","Jim Grobe",1989
"1984–1994","Marshall","LB","Coaching","Jim Grobe",1990
"1984–1994","Marshall","LB","Coaching","Jim Grobe",1991
"1984–1994","Marshall","LB","Coaching","Jim Grobe",1992
"1984–1994","Marshall","LB","Coaching","Jim Grobe",1993
"1984–1994","Marshall","LB","Coaching","Jim Grobe",1994
"1995–2000","Air Force","LB","Coaching","Jim Grobe",1995
"1995–2000","Air Force","LB","Coaching","Jim Grobe",1996
"1995–2000","Air Force","LB","Coaching","Jim Grobe",1997
"1995–2000","Air Force","LB","Coaching","Jim Grobe",1998
"1995–2000","Air Force","LB","Coaching","Jim Grobe",1999
"1995–2000","Air Force","LB","Coaching","Jim Grobe",2000
"2001–2013","Ohio","HC","Coaching","Jim Grobe",2001
"2001–2013","Ohio","HC","Coaching","Jim Grobe",2002
"2001–2013","Ohio","HC","Coaching","Jim Grobe",2003
"2001–2013","Ohio","HC","Coaching","Jim Grobe",2004
"2001–2013","Ohio","HC","Coaching","Jim Grobe",2005
"2001–2013","Ohio","HC","Coaching","Jim Grobe",2006
"2001–2013","Ohio","HC","Coaching","Jim Grobe",2007
"2001–2013","Ohio","HC","Coaching","Jim Grobe",2008
"2001–2013","Ohio","HC","Coaching","Jim Grobe",2009
"2001–2013","Ohio","HC","Coaching","Jim Grobe",2010
"2001–2013","Ohio","HC","Coaching","Jim Grobe",2011
"2001–2013","Ohio","HC","Coaching","Jim Grobe",2012
"2001–2013","Ohio","HC","Coaching","Jim Grobe",2013
"1975","Wake Forest","HC","Coaching","Jim Grobe",1975
"1979","Sundown HS","assistant","Coaching","Art Briles",1979
"1980–1983","Sweetwater HS","assistant","Coaching","Art Briles",1980
"1980–1983","Sweetwater HS","assistant","Coaching","Art Briles",1981
"1980–1983","Sweetwater HS","assistant","Coaching","Art Briles",1982
"1980–1983","Sweetwater HS","assistant","Coaching","Art Briles",1983
"1984–1985","Hamlin HS","TX","Coaching","Art Briles",1984
"1984–1985","Hamlin HS","TX","Coaching","Art Briles",1985
"1986–1987","Georgetown HS","TX","Coaching","Art Briles",1986
"1986–1987","Georgetown HS","TX","Coaching","Art Briles",1987
"1988–1999","Stephenville HS","TX","Coaching","Art Briles",1988
"1988–1999","Stephenville HS","TX","Coaching","Art Briles",1989
"1988–1999","Stephenville HS","TX","Coaching","Art Briles",1990
"1988–1999","Stephenville HS","TX","Coaching","Art Briles",1991
"1988–1999","Stephenville HS","TX","Coaching","Art Briles",1992
"1988–1999","Stephenville HS","TX","Coaching","Art Briles",1993
"1988–1999","Stephenville HS","TX","Coaching","Art Briles",1994
"1988–1999","Stephenville HS","TX","Coaching","Art Briles",1995
"1988–1999","Stephenville HS","TX","Coaching","Art Briles",1996
"1988–1999","Stephenville HS","TX","Coaching","Art Briles",1997
"1988–1999","Stephenville HS","TX","Coaching","Art Briles",1998
"1988–1999","Stephenville HS","TX","Coaching","Art Briles",1999
"2000–2002","Texas Tech","RB","Coaching","Art Briles",2000
"2000–2002","Texas Tech","RB","Coaching","Art Briles",2001
"2000–2002","Texas Tech","RB","Coaching","Art Briles",2002
"2003–2007","Houston","HC","Coaching","Art Briles",2003
"2003–2007","Houston","HC","Coaching","Art Briles",2004
"2003–2007","Houston","HC","Coaching","Art Briles",2005
"2003–2007","Houston","HC","Coaching","Art Briles",2006
"2003–2007","Houston","HC","Coaching","Art Briles",2007
"2008–2013","Baylor","HC","Coaching","Art Briles",2008
"2008–2013","Baylor","HC","Coaching","Art Briles",2009
"2008–2013","Baylor","HC","Coaching","Art Briles",2010
"2008–2013","Baylor","HC","Coaching","Art Briles",2011
"2008–2013","Baylor","HC","Coaching","Art Briles",2012
"2008–2013","Baylor","HC","Coaching","Art Briles",2013
"1989–1990","Utah State","GA","Coaching","Paul Rhoads",1989
"1989–1990","Utah State","GA","Coaching","Paul Rhoads",1990
"1991","Ohio State","GA","Coaching","Paul Rhoads",1991
"1992–1994","Pacific","DB","Coaching","Paul Rhoads",1992
"1992–1994","Pacific","DB","Coaching","Paul Rhoads",1993
"1992–1994","Pacific","DB","Coaching","Paul Rhoads",1994
"1995–1999","Iowa State","LB/DB","Coaching","Paul Rhoads",1995
"1995–1999","Iowa State","LB/DB","Coaching","Paul Rhoads",1996
"1995–1999","Iowa State","LB/DB","Coaching","Paul Rhoads",1997
"1995–1999","Iowa State","LB/DB","Coaching","Paul Rhoads",1998
"1995–1999","Iowa State","LB/DB","Coaching","Paul Rhoads",1999
"2000–2007","Pittsburgh","DC","Coaching","Paul Rhoads",2000
"2000–2007","Pittsburgh","DC","Coaching","Paul Rhoads",2001
"2000–2007","Pittsburgh","DC","Coaching","Paul Rhoads",2002
"2000–2007","Pittsburgh","DC","Coaching","Paul Rhoads",2003
"2000–2007","Pittsburgh","DC","Coaching","Paul Rhoads",2004
"2000–2007","Pittsburgh","DC","Coaching","Paul Rhoads",2005
"2000–2007","Pittsburgh","DC","Coaching","Paul Rhoads",2006
"2000–2007","Pittsburgh","DC","Coaching","Paul Rhoads",2007
"2008","Auburn","DC/DB","Coaching","Paul Rhoads",2008
"2009–","Iowa State","HC","Coaching","Paul Rhoads",2009
"1962","Gallatin HS","assistant","Coaching","Bill Snyder",1962
"1964–1965","Indio HS","assistant","Coaching","Bill Snyder",1964
"1964–1965","Indio HS","assistant","Coaching","Bill Snyder",1965
"1966","USC","GA","Coaching","Bill Snyder",1966
"1967–1968","Indio HS","CA","Coaching","Bill Snyder",1967
"1967–1968","Indio HS","CA","Coaching","Bill Snyder",1968
"1969–1973","Santa Ana Foothill HS","CA","Coaching","Bill Snyder",1969
"1969–1973","Santa Ana Foothill HS","CA","Coaching","Bill Snyder",1970
"1969–1973","Santa Ana Foothill HS","CA","Coaching","Bill Snyder",1971
"1969–1973","Santa Ana Foothill HS","CA","Coaching","Bill Snyder",1972
"1969–1973","Santa Ana Foothill HS","CA","Coaching","Bill Snyder",1973
"1974–1975","Austin","OC","Coaching","Bill Snyder",1974
"1974–1975","Austin","OC","Coaching","Bill Snyder",1975
"1976–1978","North Texas","assistant","Coaching","Bill Snyder",1976
"1976–1978","North Texas","assistant","Coaching","Bill Snyder",1977
"1976–1978","North Texas","assistant","Coaching","Bill Snyder",1978
"1979–1988","Iowa","OC","Coaching","Bill Snyder",1979
"1979–1988","Iowa","OC","Coaching","Bill Snyder",1980
"1979–1988","Iowa","OC","Coaching","Bill Snyder",1981
"1979–1988","Iowa","OC","Coaching","Bill Snyder",1982
"1979–1988","Iowa","OC","Coaching","Bill Snyder",1983
"1979–1988","Iowa","OC","Coaching","Bill Snyder",1984
"1979–1988","Iowa","OC","Coaching","Bill Snyder",1985
"1979–1988","Iowa","OC","Coaching","Bill Snyder",1986
"1979–1988","Iowa","OC","Coaching","Bill Snyder",1987
"1979–1988","Iowa","OC","Coaching","Bill Snyder",1988
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",1989
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",1990
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",1991
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",1992
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",1993
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",1994
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",1995
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",1996
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",1997
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",1998
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",1999
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",2000
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",2001
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",2002
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",2003
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",2004
"1989–2005","Kansas State","HC","Coaching","Bill Snyder",2005
"2009–2013","Kansas State","HC","Coaching","Bill Snyder",2009
"2009–2013","Kansas State","HC","Coaching","Bill Snyder",2010
"2009–2013","Kansas State","HC","Coaching","Bill Snyder",2011
"2009–2013","Kansas State","HC","Coaching","Bill Snyder",2012
"2009–2013","Kansas State","HC","Coaching","Bill Snyder",2013
"1983–1984","Iowa","GA","Coaching","Bob Stoops",1983
"1983–1984","Iowa","GA","Coaching","Bob Stoops",1984
"1985–1987","Iowa","vol. asst","Coaching","Bob Stoops",1985
"1985–1987","Iowa","vol. asst","Coaching","Bob Stoops",1986
"1985–1987","Iowa","vol. asst","Coaching","Bob Stoops",1987
"1988","Kent State","asst","Coaching","Bob Stoops",1988
"1989–1990","Kansas State","DB","Coaching","Bob Stoops",1989
"1989–1990","Kansas State","DB","Coaching","Bob Stoops",1990
"1991–1995","Kansas State","Co-DC","Coaching","Bob Stoops",1991
"1991–1995","Kansas State","Co-DC","Coaching","Bob Stoops",1992
"1991–1995","Kansas State","Co-DC","Coaching","Bob Stoops",1993
"1991–1995","Kansas State","Co-DC","Coaching","Bob Stoops",1994
"1991–1995","Kansas State","Co-DC","Coaching","Bob Stoops",1995
"1996–1998","Florida","DC","Coaching","Bob Stoops",1996
"1996–1998","Florida","DC","Coaching","Bob Stoops",1997
"1996–1998","Florida","DC","Coaching","Bob Stoops",1998
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",1999
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",2000
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",2001
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",2002
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",2003
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",2004
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",2005
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",2006
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",2007
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",2008
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",2009
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",2010
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",2011
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",2012
"1999–2013","Oklahoma","HC","Coaching","Bob Stoops",2013
"1990","Oklahoma State","WR","Coaching","Mike Gundy",1990
"1991–1993","Oklahoma State","QB","Coaching","Mike Gundy",1991
"1991–1993","Oklahoma State","QB","Coaching","Mike Gundy",1992
"1991–1993","Oklahoma State","QB","Coaching","Mike Gundy",1993
"1994–1995","Oklahoma State","OC/QB","Coaching","Mike Gundy",1994
"1994–1995","Oklahoma State","OC/QB","Coaching","Mike Gundy",1995
"1996","Baylor","QB","Coaching","Mike Gundy",1996
"1997–2000","Maryland","WR","Coaching","Mike Gundy",1997
"1997–2000","Maryland","WR","Coaching","Mike Gundy",1998
"1997–2000","Maryland","WR","Coaching","Mike Gundy",1999
"1997–2000","Maryland","WR","Coaching","Mike Gundy",2000
"2001–2004","Oklahoma State","OC","Coaching","Mike Gundy",2001
"2001–2004","Oklahoma State","OC","Coaching","Mike Gundy",2002
"2001–2004","Oklahoma State","OC","Coaching","Mike Gundy",2003
"2001–2004","Oklahoma State","OC","Coaching","Mike Gundy",2004
"2005–2013","Oklahoma State","HC","Coaching","Mike Gundy",2005
"2005–2013","Oklahoma State","HC","Coaching","Mike Gundy",2006
"2005–2013","Oklahoma State","HC","Coaching","Mike Gundy",2007
"2005–2013","Oklahoma State","HC","Coaching","Mike Gundy",2008
"2005–2013","Oklahoma State","HC","Coaching","Mike Gundy",2009
"2005–2013","Oklahoma State","HC","Coaching","Mike Gundy",2010
"2005–2013","Oklahoma State","HC","Coaching","Mike Gundy",2011
"2005–2013","Oklahoma State","HC","Coaching","Mike Gundy",2012
"2005–2013","Oklahoma State","HC","Coaching","Mike Gundy",2013
"1982","Kansas State","GA","Coaching","Gary Patterson",1982
"1983–1984","Tennessee Tech","LB","Coaching","Gary Patterson",1983
"1983–1984","Tennessee Tech","LB","Coaching","Gary Patterson",1984
"1986","UC Davis","LB","Coaching","Gary Patterson",1986
"1987","Cal Lutheran","DC","Coaching","Gary Patterson",1987
"1988","Pittsburg State","LB","Coaching","Gary Patterson",1988
"1989–1991","Sonoma State","DC","Coaching","Gary Patterson",1989
"1989–1991","Sonoma State","DC","Coaching","Gary Patterson",1990
"1989–1991","Sonoma State","DC","Coaching","Gary Patterson",1991
"1992","Oregon Lightning Bolts","HC","Coaching","Gary Patterson",1992
"1992–1994","Utah State","DB","Coaching","Gary Patterson",1992
"1992–1994","Utah State","DB","Coaching","Gary Patterson",1993
"1992–1994","Utah State","DB","Coaching","Gary Patterson",1994
"1995","Navy","DB","Coaching","Gary Patterson",1995
"1996–1998","New Mexico","DC","Coaching","Gary Patterson",1996
"1996–1998","New Mexico","DC","Coaching","Gary Patterson",1997
"1996–1998","New Mexico","DC","Coaching","Gary Patterson",1998
"1998–2000","TCU","DC","Coaching","Gary Patterson",1998
"1998–2000","TCU","DC","Coaching","Gary Patterson",1999
"1998–2000","TCU","DC","Coaching","Gary Patterson",2000
"2000–2013","TCU","HC","Coaching","Gary Patterson",2000
"2000–2013","TCU","HC","Coaching","Gary Patterson",2001
"2000–2013","TCU","HC","Coaching","Gary Patterson",2002
"2000–2013","TCU","HC","Coaching","Gary Patterson",2003
"2000–2013","TCU","HC","Coaching","Gary Patterson",2004
